Warehouse,Loadingtype,Selected Dimension ,Period_Year,Week,Transfer_Quantity
FR79,Unload,Loose,2026,W19,"46,174"
FR79,Unload,Pallet,2026,W18,114
FR79,Unload,Loose,2026,W18,"45,702"
FR79,Unload,Pallet,2026,W17,129
FR79,Unload,Mixed,2026,W17,12
FR79,Unload,Loose,2026,W17,"38,000"
FR79,Unload,Pallet,2026,W16,138
FR79,Unload,Mixed,2026,W16,17
FR79,Unload,Loose,2026,W16,"61,076"
FR79,Unload,Pallet,2026,W15,139
FR79,Unload,Mixed,2026,W15,2
FR79,Unload,Loose,2026,W15,"38,252"
FR79,Unload,Pallet,2026,W14,99
FR79,Unload,Mixed,2026,W14,6
FR79,Unload,Loose,2026,W14,"70,220"
FR79,Unload,Pallet,2026,W13,237
FR79,Unload,Mixed,2026,W13,4
FR79,Unload,Loose,2026,W13,"87,102"
FR79,Unload,Pallet,2026,W12,37
FR79,Unload,Mixed,2026,W12,15
FR79,Unload,Loose,2026,W12,"72,053"
FR79,Unload,Pallet,2026,W11,9
FR79,Unload,Mixed,2026,W11,7
FR79,Unload,Loose,2026,W11,"67,034"
FR79,Unload,Pallet,2026,W10,21
FR79,Unload,Mixed,2026,W10,4
FR79,Unload,Loose,2026,W10,"56,532"
FR79,Unload,Pallet,2026,W09,10
FR79,Unload,Mixed,2026,W09,9
FR79,Unload,Loose,2026,W09,"59,895"
FR79,Unload,Pallet,2026,W08,37
FR79,Unload,Mixed,2026,W08,10
FR79,Unload,Loose,2026,W08,"67,337"
FR79,Unload,Pallet,2026,W07,32
FR79,Unload,Mixed,2026,W07,5
FR79,Unload,Loose,2026,W07,"55,427"
FR79,Unload,Pallet,2026,W06,47
FR79,Unload,Loose,2026,W06,"48,857"
FR79,Unload,Pallet,2026,W05,37
FR79,Unload,Mixed,2026,W05,16
FR79,Unload,Loose,2026,W05,"57,701"
FR79,Unload,Pallet,2026,W04,138
FR79,Unload,Mixed,2026,W04,167
FR79,Unload,Loose,2026,W04,"40,914"
FR79,Unload,Pallet,2026,W03,"9,214"
FR79,Unload,Loose,2026,W03,"30,906"
IT01,Load,Loose,2026,W53,"11,928"
IT01,Load,Loose,2026,W52,"11,860"
IT01,Load,Loose,2026,W51,"15,023"
IT01,Load,Loose,2026,W50,"11,860"
IT01,Load,Loose,2026,W49,"16,628"
IT01,Load,Loose,2026,W48,"23,972"
IT01,Load,Loose,2026,W47,"23,829"
IT01,Load,Loose,2026,W46,"23,840"
IT01,Load,Loose,2026,W45,"24,076"
IT01,Load,Loose,2026,W44,"22,715"
IT01,Load,Loose,2026,W43,"22,772"
IT01,Load,Loose,2026,W42,"22,697"
IT01,Load,Loose,2026,W41,"22,939"
IT01,Load,Loose,2026,W40,"23,222"
IT01,Load,Loose,2026,W39,"23,173"
IT01,Load,Loose,2026,W38,"23,441"
IT01,Load,Loose,2026,W37,"23,510"
IT01,Load,Loose,2026,W36,"21,028"
IT01,Load,Loose,2026,W35,"13,977"
IT01,Load,Loose,2026,W34,"13,970"
IT01,Load,Loose,2026,W33,"13,175"
IT01,Load,Loose,2026,W32,"13,209"
IT01,Load,Loose,2026,W31,"13,548"
IT01,Load,Loose,2026,W30,"14,734"
IT01,Load,Loose,2026,W29,"14,663"
IT01,Load,Loose,2026,W28,"14,683"
IT01,Load,Loose,2026,W27,"15,102"
IT01,Load,Loose,2026,W26,"15,974"
IT01,Load,Loose,2026,W25,"15,899"
IT01,Load,Loose,2026,W24,"15,914"
IT01,Load,Loose,2026,W23,"12,718"
IT01,Load,Loose,2026,W22,"16,461"
IT01,Load,Loose,2026,W21,"15,892"
IT01,Load,Loose,2026,W20,"16,226"
IT01,Load,Loose,2026,W19,"16,163"
IT01,Load,Loose,2026,W18,"13,548"
IT01,Load,Loose,2026,W17,"16,915"
IT01,Load,Loose,2026,W16,"16,962"
IT01,Load,Loose,2026,W15,"13,061"
IT01,Load,Loose,2026,W14,"16,384"
IT01,Load,Loose,2026,W13,"16,597"
IT01,Load,Loose,2026,W12,"16,651"
IT01,Load,Loose,2026,W11,"16,435"
IT01,Load,Loose,2026,W10,"16,720"
IT01,Load,Loose,2026,W09,"17,714"
IT01,Load,Loose,2026,W08,"16,407"
IT01,Load,Loose,2026,W07,"14,979"
IT01,Load,Loose,2026,W06,"14,562"
IT01,Load,Loose,2026,W05,"14,413"
IT01,Load,Loose,2026,W04,"15,843"
IT01,Load,Loose,2026,W03,"17,559"
IT01,Unload,Loose,2026,W53,"60,462"
IT01,Unload,Loose,2026,W52,"50,672"
IT01,Unload,Loose,2026,W51,"34,538"
IT01,Unload,Loose,2026,W50,"18,104"
IT01,Unload,Loose,2026,W49,"15,584"
IT01,Unload,Loose,2026,W48,"14,610"
IT01,Unload,Loose,2026,W47,"18,678"
IT01,Unload,Loose,2026,W46,"22,912"
IT01,Unload,Loose,2026,W45,"23,121"
IT01,Unload,Loose,2026,W44,"22,910"
IT01,Unload,Loose,2026,W43,"25,501"
IT01,Unload,Loose,2026,W42,"20,886"
IT01,Unload,Loose,2026,W41,"21,550"
IT01,Unload,Loose,2026,W40,"22,748"
IT01,Unload,Loose,2026,W39,"22,721"
IT01,Unload,Loose,2026,W38,"23,534"
IT01,Unload,Loose,2026,W37,"24,724"
IT01,Unload,Loose,2026,W36,"24,501"
IT01,Unload,Loose,2026,W35,"24,128"
IT01,Unload,Loose,2026,W34,"15,917"
IT01,Unload,Loose,2026,W33,"14,323"
IT01,Unload,Loose,2026,W32,"12,621"
IT01,Unload,Loose,2026,W31,"12,448"
IT01,Unload,Loose,2026,W30,"13,293"
IT01,Unload,Loose,2026,W29,"15,297"
IT01,Unload,Loose,2026,W28,"15,387"
IT01,Unload,Loose,2026,W27,"15,007"
IT01,Unload,Loose,2026,W26,"15,273"
IT01,Unload,Loose,2026,W25,"15,083"
IT01,Unload,Loose,2026,W24,"16,634"
IT01,Unload,Loose,2026,W23,"13,903"
IT01,Unload,Loose,2026,W22,"16,898"
IT01,Unload,Loose,2026,W21,"15,307"
IT01,Unload,Loose,2026,W20,"16,158"
IT01,Unload,Loose,2026,W19,"14,099"
IT01,Unload,Loose,2026,W18,"16,017"
IT01,Unload,Loose,2026,W17,"15,828"
IT01,Unload,Loose,2026,W16,"18,812"
IT01,Unload,Loose,2026,W15,"14,687"
IT01,Unload,Loose,2026,W14,"21,030"
IT01,Unload,Loose,2026,W13,"17,434"
IT01,Unload,Loose,2026,W12,"19,001"
IT01,Unload,Loose,2026,W11,"14,690"
IT01,Unload,Loose,2026,W10,"14,214"
IT01,Unload,Loose,2026,W09,"14,155"
IT01,Unload,Loose,2026,W08,"15,610"
IT01,Unload,Loose,2026,W07,"11,682"
IT01,Unload,Loose,2026,W06,"8,082"
IT01,Unload,Loose,2026,W05,"7,609"
IT01,Unload,Loose,2026,W04,"15,016"
IT01,Unload,Loose,2026,W03,"17,457"
IT03,Load,Loose,2026,W53,8
IT03,Load,Loose,2026,W52,10
IT03,Load,Loose,2026,W51,29
IT03,Load,Loose,2026,W50,10
IT03,Load,Loose,2026,W49,12
IT03,Load,Loose,2026,W48,24
IT03,Load,Loose,2026,W47,34
IT03,Load,Loose,2026,W46,39
IT03,Load,Loose,2026,W45,34
IT03,Load,Loose,2026,W44,21
IT03,Load,Loose,2026,W43,22
IT03,Load,Loose,2026,W42,22
IT03,Load,Loose,2026,W41,21
IT03,Load,Loose,2026,W40,21
IT03,Load,Loose,2026,W39,19
IT03,Load,Loose,2026,W38,19
IT03,Load,Loose,2026,W37,19
IT03,Load,Loose,2026,W36,15
IT03,Load,Loose,2026,W35,14
IT03,Load,Loose,2026,W34,12
IT03,Load,Loose,2026,W33,8
IT03,Load,Loose,2026,W32,12
IT03,Load,Loose,2026,W31,40
IT03,Load,Loose,2026,W30,42
IT03,Load,Loose,2026,W29,42
IT03,Load,Loose,2026,W28,40
IT03,Load,Loose,2026,W27,35
IT03,Load,Loose,2026,W26,20
IT03,Load,Loose,2026,W25,21
IT03,Load,Loose,2026,W24,22
IT03,Load,Loose,2026,W23,17
IT03,Load,Loose,2026,W22,39
IT03,Load,Loose,2026,W21,43
IT03,Load,Loose,2026,W20,40
IT03,Load,Loose,2026,W19,46
IT03,Load,Loose,2026,W18,47
IT03,Load,Loose,2026,W17,55
IT03,Load,Loose,2026,W16,55
IT03,Load,Loose,2026,W15,48
IT03,Load,Loose,2026,W14,41
IT03,Load,Loose,2026,W13,22
IT03,Load,Loose,2026,W12,20
IT03,Load,Loose,2026,W11,21
